track_key,n_bets,invest_yen,return_yen,hit_bets,profit,roi,hit_rate_bet
1,614,1120000,980900.0,41,-139100.0,0.8758035714285715,0.06677524429967427
2,636,1170000,3111700.0,59,1941700.0,2.6595726495726497,0.09276729559748427
4,14,30000,78300.0,2,48300.0,2.61,0.14285714285714285
5,400,790000,1960700.0,32,1170700.0,2.481898734177215,0.08
9,648,1210000,2639700.0,67,1429700.0,2.1815702479338843,0.10339506172839506
10,526,960000,1484300.0,51,524300.0,1.5461458333333333,0.09695817490494296
15,538,1000000,1646000.0,52,646000.0,1.646,0.09665427509293681
17,542,990000,727700.0,40,-262300.0,0.7350505050505051,0.07380073800738007
22,504,860000,1140800.0,50,280800.0,1.3265116279069769,0.0992063492063492
