conf_bin,n_bet,hit3t_rate,hit3f_rate,hit_any_rate,roi,conf_mean
<0.60,0.0,,,,,
0.60-0.70,3.0,0.0,0.0,0.0,0.0,0.6947296666666666
0.70-0.80,1052.0,0.05418250950570342,0.16159695817490494,0.16159695817490494,0.49619771863117873,0.7786010351711027
0.80-0.85,4719.0,0.056579783852511126,0.20110192837465565,0.20110192837465565,0.6644628099173554,0.8293424174613265
0.85-0.87,2029.0,0.056678166584524396,0.20995564317397733,0.20995564317397733,0.5997979300147857,0.8591653035978314
0.87-0.90,1443.0,0.07484407484407485,0.2286902286902287,0.2286902286902287,0.6227581427581428,0.87791262993763
>=0.90,0.0,,,,,
